Unidade UF;IPLs Instaurados
AC;55
SP;824
PR;510
PE;77
PB;55
MG;330
SC;214
ES;73
CE;91
RJ;197
MS;128
PA;135
RS;290
GO;105
DF;67
RR;70
SE;78
MA;95
BA;154
RN;71
PI;60
TO;31
MT;110
AM;60
RO;69
AL;39
AP;41
PF;13
