Unidade UF;IPLs Instaurados
RS;288
RN;63
PB;54
SP;1038
SC;229
AC;59
BA;127
RJ;282
MG;306
CE;95
PE;48
DF;78
RO;77
TO;47
PR;486
AM;72
MS;138
ES;59
MA;62
GO;78
PA;117
PI;44
MT;82
RR;39
AL;25
SE;27
PF;8
AP;18
