Unidade UF;IPLs Instaurados
RJ;183
PR;323
SP;740
MT;107
BA;108
MG;305
RS;245
AP;28
SC;192
CE;64
DF;97
PE;47
PI;30
AM;65
MS;147
MA;78
PA;100
TO;41
RO;71
AC;56
RR;55
GO;65
RN;47
ES;74
SE;29
PB;47
AL;36
PF;2
