Unidade UF;IPLs em Andamento
RS;4166
SC;2056
ES;1039
RJ;10504
MA;1913
SP;12530
PF;156
BA;2268
CE;3014
PA;2935
DF;3166
AL;914
MS;1518
MG;6405
PR;6057
RR;675
AM;1202
RO;820
GO;1383
TO;484
PB;1242
MT;1418
SE;721
PI;1756
RN;1041
AP;298
PE;1633
AC;666
