Unidade UF;IPLs Relatados;Qtd Indiciados
SE;65;43
PE;74;84
CE;103;27
SC;239;189
BA;108;55
RN;76;23
RJ;275;56
SP;871;352
MS;156;104
RO;62;35
DF;137;46
AM;74;42
MT;67;38
PR;582;271
TO;34;38
AC;29;35
RS;296;209
AL;29;11
RR;34;39
GO;74;34
PA;190;106
MG;336;132
PB;41;33
AP;22;13
MA;108;82
ES;60;23
PI;71;44
PF;7;1
