Unidade UF;IPLs em Andamento
RS;3518
MG;5120
SP;12227
AC;601
TO;396
AP;417
PR;5190
GO;1083
RJ;8114
RO;820
SC;2121
DF;1834
PA;2517
CE;2398
RN;937
MT;1219
PB;1129
BA;1908
ES;1045
PF;194
PI;1402
MS;1227
MA;1566
PE;1160
SE;462
AL;776
AM;734
RR;685
