Unidade UF;IPLs em Andamento
RJ;10059
PR;5854
DF;2967
MG;6188
GO;1325
SP;12436
MT;1332
MS;1472
BA;2128
SC;2096
PI;1662
PF;178
RS;4074
AP;319
AL;882
RN;1000
TO;470
RO;829
SE;674
CE;2905
PE;1556
MA;1812
AM;1151
PA;2851
PB;1215
AC;674
RR;689
ES;1018
