Unidade UF;IPLs em Andamento
PA;2972
BA;2469
RJ;11019
SC;2079
AL;950
PI;1766
MA;1959
MT;1443
MS;1535
ES;1041
SP;12793
MG;6473
RS;4264
PR;6326
CE;3122
TO;482
PF;145
AC;647
GO;1476
RO;838
SE;774
AM;1579
PE;1733
DF;3365
RR;656
RN;1114
AP;350
PB;1272
