Unidade UF;IPLs em Andamento
CE;2779
PF;184
DF;2493
AC;682
PE;1432
SP;12175
PI;1541
RJ;9210
PR;5817
GO;1231
RO;830
PB;1179
BA;2041
MG;6003
AM;1094
RS;4015
SC;2059
ES;969
AL;871
MS;1445
PA;2791
RN;942
MT;1263
MA;1761
SE;633
TO;428
RR;720
AP;317
