Unidade UF;IPLs Relatados;Qtd Indiciados
RR;56;36
TO;18;50
ES;67;41
RS;257;152
RJ;267;104
GO;61;48
BA;120;61
SP;612;204
PA;138;76
MS;188;139
MT;64;29
CE;114;30
PR;472;224
PF;7;1
PE;38;33
MG;279;130
DF;58;20
SC;162;72
RN;40;26
SE;23;13
PB;60;143
AC;50;48
PI;81;35
AM;66;24
MA;66;52
AL;23;16
AP;15;11
RO;66;48
