Unidade UF;IPLs em Andamento
RN;970
GO;1165
PB;1175
MG;5716
CE;2717
PE;1308
SP;12538
AM;929
RJ;8856
RS;4084
BA;2020
PI;1499
PR;5838
MA;1713
AL;869
MS;1419
AC;624
ES;974
DF;2208
SC;2198
PA;2775
MT;1340
RO;854
RR;692
SE;556
TO;419
AP;330
PF;168
