Unidade UF;IPLs Instaurados
SP;840
PE;53
ES;56
BA;110
CE;69
RN;51
MG;230
MS;102
RJ;178
PI;40
SC;145
MA;105
RS;254
SE;27
PB;30
PA;113
MT;94
DF;58
RO;58
TO;25
AL;40
RR;33
PR;428
GO;83
AM;60
AC;44
AP;27
PF;4
