Unidade UF;IPLs em Andamento
PR;6324
RJ;11270
ES;1013
MG;6527
MA;2006
BA;2583
TO;490
PI;1750
RS;4306
AL;931
PE;1765
SP;12989
RR;667
GO;1516
PF;147
DF;3455
MT;1442
MS;1476
SC;2092
PA;3043
CE;3198
SE;800
RN;1148
PB;1243
AC;623
RO;859
AM;1695
AP;361
