Unidade UF;IPLs Instaurados
PA;123
SC;231
ES;93
BA;159
SP;782
MG;330
PR;442
MT;115
GO;57
RS;265
PI;49
SE;37
PE;84
RJ;236
DF;101
AC;67
AM;37
CE;87
MS;219
RR;35
RO;66
PB;95
RN;45
AL;46
PF;6
MA;73
TO;21
AP;17
