Unidade UF;IPLs em Andamento
PE;1365
SP;12785
PR;5813
AL;892
ES;994
BA;2039
SE;607
MG;5882
RN;965
CE;2777
MA;1849
PB;1169
PI;1542
RS;4094
RJ;8987
MS;1432
SC;2116
GO;1176
DF;2342
MT;1376
PA;2833
AC;645
RR;685
TO;420
RO;809
AM;1036
PF;178
AP;314
