Unidade UF;IPLs Relatados;Qtd Indiciados
AM;109;28
SP;717;297
MS;116;97
BA;126;97
MG;221;294
PR;521;331
RJ;377;64
PA;90;44
RO;87;76
AP;25;27
MT;91;40
SC;174;86
CE;76;3
RN;108;84
MA;106;42
DF;82;13
PI;79;30
AC;59;48
GO;133;52
ES;66;42
TO;28;18
PE;91;40
RS;242;74
PB;59;29
RR;22;54
PF;11;0
AL;21;2
SE;55;26
