Unidade UF;IPLs Relatados;Qtd Indiciados
PR;385;222
SE;35;6
AL;29;19
SC;155;53
BA;110;77
RS;222;95
CE;68;15
PA;64;22
RJ;205;36
MS;110;88
AM;93;35
SP;659;279
RO;53;37
MG;192;62
MT;91;74
ES;56;20
PE;74;17
AC;53;32
RN;70;20
MA;90;56
GO;73;19
AP;25;17
TO;23;9
RR;29;80
DF;109;23
PF;6;3
PI;24;18
PB;62;8
