Unidade UF;IPLs Instaurados
PR;519
CE;60
SP;955
SC;142
RN;52
PI;59
PB;102
AL;52
ES;54
BA;152
PA;109
GO;49
MG;296
RJ;208
RS;211
TO;31
MS;112
AM;63
MA;77
PE;57
RO;73
MT;75
SE;21
DF;50
AC;48
PF;10
RR;34
AP;15
