Unidade UF;IPLs Relatados;Qtd Indiciados
RN;75;50
DF;213;35
SP;872;340
SC;190;104
AC;63;70
BA;176;144
PR;531;432
PE;90;61
CE;127;16
RO;71;84
RJ;383;69
MG;271;106
TO;42;78
RS;264;221
GO;112;35
PB;66;45
MS;152;149
MA;78;52
PA;143;82
MT;100;89
ES;86;95
SE;44;15
AM;94;87
AL;39;19
PI;77;33
RR;69;76
AP;20;19
PF;3;0
