Unidade UF;IPLs Relatados;Qtd Indiciados
SP;720;236
CE;85;6
RN;109;55
PR;403;188
MT;122;89
SC;192;93
PE;83;36
PA;103;44
MS;139;123
SE;93;23
RO;63;46
AM;70;11
RJ;404;62
BA;163;107
RS;223;179
MA;63;17
PB;82;23
PI;36;41
AC;44;31
GO;128;33
MG;172;63
ES;43;29
DF;92;30
AP;16;6
TO;27;13
AL;28;15
RR;46;66
PF;5;0
