Unidade UF;IPLs Relatados;Qtd Indiciados
PB;59;57
AC;61;87
CE;143;22
SE;50;27
PE;79;37
SC;181;62
RN;44;58
MT;121;44
RS;340;223
PI;67;23
MS;164;88
SP;942;262
BA;128;71
MA;79;47
RJ;289;58
PR;460;230
RO;68;50
DF;96;104
MG;286;93
RR;31;17
AL;46;11
AM;62;31
GO;77;33
AP;18;13
ES;56;41
TO;28;21
PA;147;90
PF;6;0
