Unidade UF;IPLs Relatados;Qtd Indiciados
SP;697;211
MG;200;77
BA;178;88
RJ;296;90
MT;89;74
ES;44;28
PR;450;295
SC;141;62
DF;126;37
AM;244;55
RO;63;80
PI;62;38
GO;104;46
MA;137;42
AP;20;13
RS;252;128
PA;78;21
MS;146;135
PF;4;0
PB;59;142
AC;27;31
CE;132;24
PE;32;12
AL;29;9
TO;19;5
RN;52;37
SE;43;15
RR;30;98
