preco;km_total;km_parcial;litros;kml;km_restante;kmh_media
5.47;75870;799.4;88.6;9.0;134;20.3
5.43;75930;859.3;95.2;9.0;155;20.3
22-05-2023;5.47;75870;799.4;88.6;9.0;134;20.3
24-05-2023;5.43;75930;859.3;95.2;9.0;155;20.3
29-05-2023;5.39;76023;952.0;104.3;9.1;156;20.4
30-05-2023;5.38;76080;1009.4;109.9;9.1;450;20.5
