Unidade UF;IPLs Relatados;Qtd Indiciados
SC;242;108
MA;105;49
BA;277;253
SP;879;277
AL;34;9
PR;424;246
CE;159;8
MG;359;141
ES;58;14
RJ;389;72
GO;135;41
RO;86;88
PA;146;74
PE;115;34
AM;151;50
AC;40;15
DF;151;38
MT;98;44
AP;26;16
MS;152;132
TO;28;15
RS;310;129
RR;48;85
PI;43;13
PB;87;36
SE;47;28
RN;87;66
PF;3;0
