Unidade UF;IPLs Relatados;Qtd Indiciados
PE;89;49
AC;41;37
PB;79;89
BA;181;90
CE;95;54
AM;94;47
DF;112;32
SC;199;97
PA;114;116
MS;115;77
RJ;385;89
RN;80;49
ES;62;35
RS;333;242
SP;990;446
MG;387;162
PR;480;331
GO;116;71
RO;69;126
PI;102;51
AL;36;36
AP;36;15
RR;30;42
MA;108;62
TO;52;96
MT;93;52
SE;52;19
PF;7;0
