Unidade UF;IPLs Relatados;Qtd Indiciados
SP;738;246
DF;189;27
RS;274;191
MG;349;108
RO;57;60
RJ;339;51
SC;159;53
PR;454;275
BA;187;83
MT;131;128
ES;70;35
PE;109;64
AC;61;31
PI;73;30
MA;124;85
PA;209;128
AM;77;15
MS;151;124
CE;143;32
TO;42;30
GO;88;23
SE;51;11
RN;48;29
PB;43;9
RR;48;74
AL;29;4
AP;12;2
PF;1;0
