Unidade UF;IPLs Relatados;Qtd Indiciados
ES;67;26
RO;93;68
PR;667;327
MT;168;74
RS;352;252
AC;62;70
RN;46;25
MS;184;109
BA;141;56
SP;1054;267
PA;274;145
SC;195;66
GO;109;56
DF;157;97
MG;358;115
RJ;413;124
TO;35;35
PB;106;68
CE;169;50
PE;86;40
RR;77;47
AM;87;38
AP;17;9
SE;57;20
AL;47;19
MA;114;56
PI;76;17
PF;3;0
