Unidade UF;IPLs Relatados;Qtd Indiciados
PB;27;33
SC;160;53
RN;35;21
CE;142;28
AC;73;35
PE;63;28
SE;43;28
RJ;203;24
MG;271;80
GO;69;32
RS;321;197
PA;147;81
SP;984;231
PR;416;170
MS;132;55
DF;101;21
MT;81;21
AP;26;14
AL;42;11
AM;91;43
RR;53;29
BA;110;46
MA;162;57
ES;74;17
PI;80;26
PF;8;2
RO;72;43
TO;40;41
