Unidade UF;IPLs Relatados;Qtd Indiciados
SC;193;81
ES;89;73
AM;177;47
RJ;378;111
MA;129;91
SP;909;303
PA;152;52
PR;572;336
RS;328;147
RO;88;71
MG;320;92
MS;192;180
BA;210;118
PB;92;31
CE;128;21
AP;52;18
PE;161;50
SE;66;25
GO;87;23
RR;44;174
AC;54;17
MT;105;54
DF;223;73
RN;80;39
TO;20;7
AL;51;37
PI;58;31
PF;4;0
