Unidade UF;IPLs Relatados;Qtd Indiciados
RJ;323;90
TO;30;35
RS;234;95
ES;97;60
DF;143;30
PF;5;0
MS;134;142
PR;419;249
SP;738;257
MG;325;111
RR;35;45
SC;226;76
CE;131;10
MA;118;64
PA;105;40
SE;53;17
PE;108;34
BA;172;82
AL;35;8
PI;48;20
PB;57;19
AC;38;26
MT;99;50
AM;153;51
AP;22;20
RO;66;61
GO;128;37
RN;85;56
