Unidade UF;IPLs Relatados;Qtd Indiciados
CE;137;10
SP;886;443
PR;456;325
SC;188;74
RN;84;103
RJ;430;122
MA;86;45
MG;377;197
ES;91;63
MT;119;137
BA;173;133
MS;135;95
DF;252;55
AL;50;14
AC;41;20
PE;103;46
RS;245;204
PB;87;48
SE;38;41
TO;58;47
PI;89;27
GO;79;43
PA;136;78
AM;72;19
RR;34;47
RO;60;98
AP;9;18
PF;9;0
