Unidade UF;IPLs Relatados;Qtd Indiciados
PE;74;54
AC;46;26
PB;70;38
SC;216;93
SE;21;4
CE;134;36
RN;70;12
SP;868;224
PR;570;237
MT;98;39
PA;166;89
ES;48;22
TO;41;49
AM;77;18
RJ;248;65
RO;64;54
MG;311;88
RS;310;169
BA;174;70
PI;68;55
AL;66;28
GO;105;97
MA;76;28
MS;192;106
RR;35;22
PF;10;2
AP;16;6
DF;126;34
