Unidade UF;IPLs Relatados;Qtd Indiciados
CE;107;26
RN;56;15
SP;798;235
PB;59;18
DF;131;63
MA;118;38
RJ;197;46
ES;76;21
BA;112;45
PE;79;23
MT;110;36
AC;48;21
MG;311;112
RS;258;124
MS;121;72
AL;26;9
PA;165;123
SC;154;64
AM;85;37
RR;42;25
PR;446;228
GO;71;40
PI;54;9
SE;48;27
TO;29;26
RO;52;23
AP;18;12
PF;2;0
