Unidade UF;IPLs Relatados;Qtd Indiciados
SP;784;204
PE;77;37
CE;70;5
MA;96;43
RJ;210;27
BA;141;107
GO;92;62
SC;159;55
PI;45;9
PR;333;206
MG;229;79
PB;35;8
RS;220;76
SE;40;20
PA;84;54
RN;28;49
DF;122;30
AL;26;6
MT;52;26
RO;53;21
AP;16;8
ES;50;18
RR;50;24
MS;112;79
TO;28;40
AC;54;36
PF;8;1
AM;48;37
