Unidade UF;IPLs em Andamento
SC;2136
MS;1312
AM;795
SP;12218
CE;2457
PF;192
GO;1094
RJ;8328
TO;384
MT;1211
RO;830
PR;5304
DF;1882
RN;945
RS;3614
RR;720
PE;1173
MG;5275
MA;1587
BA;1921
SE;470
AC;612
AL;788
PB;1154
PA;2538
AP;420
PI;1445
ES;1039
