Unidade UF;IPLs em Andamento
MG;6193
SP;12638
RO;836
AM;1175
PA;2842
PF;177
RS;4101
DF;3073
PR;5975
BA;2199
RJ;10272
SC;2081
AL;918
MS;1491
SE;709
PI;1690
MA;1854
ES;1029
PE;1615
GO;1379
RR;676
MT;1369
TO;459
AP;308
AC;675
CE;2948
PB;1229
RN;1002
