Unidade UF;IPLs Instaurados
RS;181
AC;33
GO;62
SP;589
ES;57
PA;93
RN;36
MS;119
SC;149
MA;46
RJ;136
CE;61
MT;70
BA;94
PR;333
DF;23
AM;20
RR;29
MG;177
TO;29
PB;51
RO;47
AP;18
PI;58
SE;22
PE;28
AL;11
PF;7
