Unidade UF;IPLs Instaurados
CE;70
MT;56
SP;885
RS;271
PR;580
GO;81
BA;142
MA;63
AM;41
MS;142
DF;68
RJ;252
RO;50
AC;39
AP;23
PI;79
RR;51
MG;300
PA;139
SC;163
PB;34
ES;66
RN;56
TO;33
AL;20
PE;33
SE;23
PF;7
