Unidade UF;IPLs em Andamento
RS;4096
RN;985
GO;1291
PA;2810
CE;2888
PB;1195
PE;1508
DF;2798
AL;877
BA;2097
MA;1778
SP;12534
SC;2121
PI;1625
AC;677
RO;839
PF;186
RJ;9854
PR;5759
MG;6189
MS;1449
MT;1310
ES;1006
AM;1126
SE;654
RR;664
TO;472
AP;314
