Unidade UF;IPLs Instaurados
MS;158
SP;768
BA;117
ES;57
RJ;144
SC;150
MG;286
RS;244
PR;380
PE;45
AC;58
GO;67
AM;39
MA;101
AP;12
PA;70
RO;66
MT;87
PI;59
DF;91
CE;69
PB;50
SE;33
TO;21
RN;28
AL;25
RR;33
PF;11
