Unidade UF;IPLs Instaurados
SP;923
MG;206
PR;363
RS;230
SC;162
BA;127
RJ;223
DF;118
ES;60
PE;80
MS;138
MA;69
PA;144
RO;65
AM;51
AP;21
GO;87
CE;99
AC;52
RN;26
PI;31
RR;44
AL;32
PB;49
SE;33
PF;20
TO;17
MT;79
