Unidade UF;IPLs Instaurados
SP;694
CE;78
RN;32
MT;86
PE;71
PR;294
PA;116
MS;122
MG;216
RS;197
RO;45
RJ;172
BA;105
SC;151
AC;40
GO;54
ES;55
AM;37
DF;129
PI;42
TO;25
MA;52
RR;40
PB;40
SE;33
AL;14
PF;4
AP;15
