Unidade UF;IPLs em Andamento
PB;1182
SC;2153
RN;988
CE;2719
AC;628
PE;1337
SE;591
RJ;8914
MG;5845
GO;1195
RS;4133
PA;2788
SP;12549
PR;5834
MS;1428
DF;2299
MT;1352
AP;319
AL;883
AM;973
RR;683
BA;2042
MA;1758
ES;984
PI;1505
PF;181
RO;844
TO;418
