Unidade UF;IPLs Instaurados
RN;42
CE;106
SP;841
PE;61
MA;65
BA;108
MT;109
MG;241
RJ;223
RS;208
MS;112
ES;63
PR;468
PB;44
PA;151
AC;60
AM;59
SC;181
GO;60
SE;12
DF;67
TO;32
RO;65
PI;50
PF;9
RR;40
AL;11
AP;23
