Unidade UF;IPLs em Andamento
SP;12171
CE;2782
DF;2433
ES;992
AC;656
PR;5744
RJ;9082
BA;2061
PB;1172
SC;2112
AM;1054
PI;1557
PE;1387
RS;4050
GO;1193
RO;824
RN;944
AL;875
PA;2818
MG;5938
RR;731
MA;1816
MT;1324
MS;1444
PF;178
TO;427
SE;628
AP;302
