Unidade UF;IPLs Instaurados
MS;190
PI;59
SC;254
DF;57
RO;77
PR;447
MT;97
SP;919
RS;238
PA;207
MG;277
AC;63
BA;112
RJ;266
RR;65
AM;64
PE;54
PB;82
GO;95
TO;35
ES;89
MA;95
AP;46
RN;79
CE;85
PF;13
SE;26
AL;33
