Unidade UF;IPLs em Andamento
CE;2803
PR;5828
SP;12513
RS;4068
SC;2068
GO;1236
PB;1212
RN;953
PE;1451
PA;2769
AL;873
ES;967
PI;1583
MS;1429
RJ;9575
DF;2563
MG;6078
MA;1768
SE;628
BA;2060
AM;1121
TO;446
AC;676
MT;1259
RR;678
RO;841
AP;317
PF;179
