Unidade UF;IPLs Instaurados
SP;695
CE;106
RJ;139
PB;37
RS;288
AC;52
PE;40
RN;46
RR;29
PR;328
SC;182
PI;56
AL;31
MS;87
ES;67
MG;173
MT;141
PA;123
PF;6
MA;149
RO;51
BA;132
GO;51
DF;58
SE;27
AM;45
TO;30
AP;23
