Unidade UF;IPLs em Andamento
CE;3249
SP;12961
PR;6489
RN;1224
MT;1478
SE;876
MG;6716
SC;2182
PE;1845
DF;3503
PA;3112
GO;1614
RO;930
AC;617
MS;1421
RS;4335
BA;2772
RJ;11850
PF;148
RR;630
AM;1930
PB;1284
MA;2150
AL;915
PI;1683
ES;1019
TO;494
AP;401
