Unidade UF;IPLs Instaurados
PB;46
SC;199
RN;62
CE;95
AC;48
PE;40
SE;34
RJ;189
MG;237
GO;79
RS;360
PA;102
SP;835
PR;435
MS;128
DF;63
MT;58
AP;28
AL;34
AM;43
RR;41
BA;120
MA;75
ES;71
PI;45
PF;14
RO;101
TO;38
