Unidade UF;IPLs em Andamento
PE;1271
AC;613
PB;1188
SC;2153
SE;562
CE;2640
RN;940
SP;12612
PR;5648
MT;1290
PA;2709
ES;982
TO;406
AM;890
RJ;8769
RO;849
MG;5627
RS;3975
BA;1929
PI;1478
AL;855
GO;1138
MA;1676
MS;1346
RR;702
PF;185
AP;343
DF;2128
