Unidade UF;IPLs Instaurados
RJ;182
ES;99
PI;43
SP;809
BA;98
PF;3
MG;214
DF;106
MS;156
GO;82
MT;69
RR;61
SC;153
MA;71
CE;108
PE;89
PR;370
AC;54
RO;57
PB;41
AM;40
RS;220
PA;113
TO;19
AP;21
RN;70
AL;30
SE;29
