Unidade UF;IPLs Instaurados
AM;128
RS;184
SP;621
MS;108
MG;228
PR;370
BA;79
PF;10
RO;67
MT;71
AL;41
PE;83
RJ;162
SC;149
RR;37
CE;78
MA;52
PA;86
PI;43
AC;42
GO;54
ES;56
TO;35
RN;62
DF;109
AP;26
PB;61
SE;35
