Unidade UF;IPLs em Andamento
PR;6411
MS;1430
PA;3087
SE;827
CE;3235
AL;917
SC;2178
MA;2072
PI;1754
PE;1790
RO;883
RJ;11483
SP;12881
BA;2653
TO;500
RS;4316
RR;627
MT;1477
AM;1828
GO;1531
RN;1167
AC;595
DF;3517
MG;6666
ES;1000
PB;1261
PF;151
AP;364
