Unidade UF;IPLs Instaurados
PR;318
MS;169
RO;56
SC;131
TO;26
CE;88
RS;215
PA;71
SP;638
AM;48
GO;38
BA;87
MG;208
ES;63
RJ;183
AC;39
PF;6
RN;42
MA;50
PE;41
RR;41
MT;96
DF;89
PI;63
AL;27
PB;50
AP;9
SE;30
