Unidade UF;IPLs Instaurados
PB;69
AC;54
CE;89
SE;34
PE;45
SC;160
RN;46
MT;123
RS;191
PI;51
MS;140
SP;868
BA;118
MA;69
RJ;292
PR;428
RO;66
DF;51
MG;177
RR;45
AL;35
AM;58
GO;70
AP;33
ES;70
TO;23
PA;119
PF;10
