Unidade UF;IPLs Instaurados
PE;30
AC;41
PB;72
SC;170
SE;25
CE;74
RN;39
SP;896
PR;417
MT;61
PA;102
ES;54
TO;25
AM;53
RJ;262
RO;60
MG;276
RS;235
BA;109
PI;58
AL;54
GO;79
MA;51
MS;133
RR;42
PF;19
AP;20
DF;64
