Unidade UF;IPLs Instaurados
RS;224
SC;178
ES;86
MA;117
SP;744
PA;149
MG;295
PR;435
RO;73
AM;67
MS;194
DF;110
BA;108
RJ;207
CE;89
PE;84
AP;16
GO;54
RR;60
AC;58
MT;80
TO;22
RN;54
AL;33
SE;36
PB;64
PI;47
PF;5
