Unidade UF;IPLs em Andamento
PB;1199
AC;601
CE;2583
SE;547
PE;1229
SC;2144
RN;938
MT;1295
RS;3771
PI;1449
MS;1322
SP;12402
BA;1917
MA;1651
RJ;8657
PR;5578
RO;851
DF;2090
MG;5463
RR;723
AL;823
AM;879
GO;1109
AP;356
ES;1007
TO;386
PA;2670
PF;184
