Unidade UF;IPLs em Andamento
MS;1531
SP;12819
RJ;10785
PA;2960
RS;4239
PR;6266
MG;6492
BA;2397
ES;1061
SC;2079
DF;3309
RO;840
MT;1442
RR;654
AL;948
PE;1740
PI;1764
AC;678
PF;155
AM;1359
GO;1432
TO;486
CE;3052
MA;1921
AP;338
PB;1256
RN;1086
SE;758
