Unidade UF;IPLs em Andamento
AM;1971
RS;4378
SP;13052
PR;6648
MS;1428
BA;2849
MG;6701
RJ;12234
PA;3109
PF;146
PE;1859
RO;961
AP;395
MT;1521
SE;937
CE;3278
AL;928
MA;2164
PB;1312
SC;2220
RR;651
RN;1324
AC;634
TO;497
PI;1681
DF;3467
GO;1697
ES;1024
