Unidade UF;IPLs Relatados;Qtd Indiciados
RJ;310;71
GO;123;28
MS;159;152
PR;440;336
BA;175;112
MG;282;105
AP;20;15
RS;266;161
DF;174;23
RO;84;99
SC;179;72
AL;62;27
SP;796;326
CE;107;9
PE;99;36
SE;54;36
AM;86;45
MA;105;70
PA;93;46
MT;142;52
TO;29;19
PI;49;42
PB;75;22
ES;62;27
AC;58;51
RN;60;37
RR;42;71
PF;1;0
